distance,std,mean
0,1.302231892940233,0.8416704545454546
1,1.215877983560768,0.8815761363636363
2,1.1133558695869663,1.0463625
3,1.0195524121093835,1.1542117647058825
4,0.9571378972945908,1.3419532467532467
5,0.9351408083524929,1.4772800000000001
6,0.8814888327489788,1.5759745454545455
7,0.8860359818224,1.538521875
8,0.8091546861855279,1.7814320000000001
9,0.8260917692011394,1.525294117647059
10,0.68739377653836,1.6727538461538463
11,0.8628442714271758,1.578542857142857
12,0.7392841835180839,1.4266999999999999
13,0.85904455452943,1.1887999999999999
14,0.7832,0.7832
15,0.0,2.0
16,0.0,2.0
